City_ID,City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind
0,haines junction,88,CA,1533612875,57,60.75,-137.51,58.38,4.5
1,marataizes,92,BR,1533612875,100,-21.04,-40.82,68.82,13.11
2,vaini,92,IN,1533612875,99,15.34,74.49,69.72,9.19
3,airai,0,TL,1533612876,44,-8.93,125.41,83.17,1.81
4,mataura,100,NZ,1533612876,82,-46.19,168.86,44.25,3.94
5,nikolskoye,75,RU,1533610800,87,59.7,30.79,57.2,8.95
6,xichang,56,CN,1533612876,76,27.88,102.25,66.07,1.59
7,katsuura,20,JP,1533610800,62,33.93,134.5,87.8,5.82
8,ust-nera,24,RU,1533612877,66,64.57,143.24,55.27,2.59
9,carnarvon,36,ZA,1533612877,94,-30.97,22.13,31.38,11.1
10,busselton,8,AU,1533612877,96,-33.64,115.35,62.16,15.79
11,pevek,24,RU,1533612877,100,69.7,170.27,41.41,12.88
12,laizhou,8,CN,1533612877,73,37.18,119.93,93.61,10.2
13,sanming,8,CN,1533612878,73,26.24,117.6,86.86,1.03
14,saint-philippe,90,CA,1533610800,88,45.36,-73.48,75.2,8.05
15,yellowknife,90,CA,1533610800,82,62.45,-114.38,64.4,3.36
16,bara,56,NG,1533612878,99,10.41,10.6,68.64,2.93
17,punta arenas,90,CL,1533610800,100,-53.16,-70.91,33.8,3.36
18,bredasdorp,56,ZA,1533610800,81,-34.53,20.04,44.6,10.29
19,arraial do cabo,92,BR,1533612879,100,-22.97,-42.02,65.76,8.08
20,albany,20,US,1533610440,65,42.65,-73.75,80.6,4.7
21,shubarkuduk,0,KZ,1533612879,68,49.15,56.49,77.46,4.05
22,broome,0,GB,1533612000,88,52.47,1.45,66.2,4.7
23,tiznit,0,MA,1533612880,96,29.7,-9.73,68.14,1.81
24,ushuaia,90,AR,1533610800,100,-54.81,-68.31,32.0,11.41
25,tiksi,8,RU,1533612880,78,71.64,128.87,50.19,14.67
26,matara,92,PE,1533612881,95,-13.74,-72.9,39.52,2.15
27,saldanha,8,PT,1533612765,54,41.42,-6.55,60.81,6.17
28,qaanaaq,76,GL,1533612821,85,77.48,-69.36,39.21,13.22
29,cidreira,0,BR,1533612881,86,-30.17,-50.22,46.81,6.06
30,mareeba,40,AU,1533610800,69,-16.99,145.42,80.6,10.29
31,general pico,92,AR,1533612881,45,-35.66,-63.75,67.96,22.06
32,myitkyina,80,MM,1533612882,98,25.38,97.4,75.75,2.37
33,aklavik,90,CA,1533610800,71,68.22,-135.01,51.8,2.24
34,eureka,75,US,1533611100,93,40.8,-124.16,55.4,5.06
35,high prairie,76,CA,1533612883,45,55.43,-116.48,69.18,9.42
36,hilo,75,US,1533610560,69,19.71,-155.08,80.6,9.17
37,rabak,24,SD,1533612883,96,13.18,32.74,71.25,3.83
38,dubbo,75,AU,1533610800,43,-32.25,148.6,55.4,12.75
39,rikitea,56,PF,1533612884,98,-23.12,-134.97,75.61,4.16
40,zhangye,92,CN,1533612884,73,38.94,100.46,72.82,4.5
41,hobart,20,AU,1533610800,46,-42.88,147.33,53.6,17.22
42,new norfolk,20,AU,1533610800,46,-42.78,147.06,53.6,17.22
43,medicine hat,40,CA,1533610800,31,50.04,-110.68,78.8,5.82
44,poum,0,MK,1533612885,88,41.28,20.71,53.11,2.04
45,barrow,88,AR,1533612885,50,-38.31,-60.23,60.27,18.7
46,fernie,75,CA,1533610800,26,49.5,-115.06,80.6,5.82
47,ancud,12,CL,1533612685,93,-41.87,-73.83,43.44,5.95
48,khatanga,8,RU,1533612886,97,71.98,102.47,51.0,9.64
49,lagos,20,NG,1533610800,88,6.46,3.39,77.0,4.7
50,sarh,0,TD,1533607200,83,9.14,18.39,77.0,4.16
51,sola,40,NO,1533612000,93,58.89,5.65,62.6,6.93
52,avarua,75,CK,1533610800,83,-21.21,-159.78,78.8,19.46
53,umri,32,IN,1533612887,98,29.95,76.91,79.89,4.5
54,troitskoye,0,RU,1533612887,52,52.98,84.68,66.03,4.83
55,plettenberg bay,92,ZA,1533612887,100,-34.05,23.37,53.61,28.77
56,victoria,75,BN,1533609000,78,5.28,115.24,87.8,3.36
57,rocha,0,UY,1533612888,91,-34.48,-54.34,45.87,6.73
58,aasiaat,92,GL,1533612888,83,68.71,-52.87,47.13,15.12
59,windsor,90,US,1533611700,94,42.3,-83.03,71.6,7.18
60,ta khmau,40,KH,1533610800,50,11.48,104.95,95.0,5.82
61,vila franca do campo,75,PT,1533610800,68,37.72,-25.43,69.8,5.82
62,hudson bay,0,CA,1533612889,64,52.86,-102.4,69.45,4.83
63,arvika,8,SE,1533610200,81,59.65,12.59,53.6,3.36
64,hermanus,68,ZA,1533612767,98,-34.42,19.24,43.35,8.19
65,saint-pierre,0,FR,1533610800,52,48.95,4.24,68.0,6.93
66,fortuna,0,ES,1533610800,83,38.18,-1.13,77.0,2.24
67,owando,0,CG,1533612890,92,-0.49,15.91,71.74,3.27
68,palermo,36,CO,1533610800,57,2.89,-75.43,80.6,2.04
69,upernavik,92,GL,1533612773,87,72.79,-56.15,41.86,32.79
70,bluff,80,AU,1533612890,22,-23.58,149.07,68.73,12.21
71,ahipara,0,NZ,1533612891,87,-35.17,173.16,59.14,4.94
72,carutapera,0,BR,1533612891,88,-1.2,-46.02,78.67,10.2
73,lisakovsk,12,KZ,1533612891,52,52.55,62.49,75.34,7.07
74,port elizabeth,1,US,1533610560,94,39.31,-74.98,80.6,10.98
75,cherskiy,64,RU,1533612892,58,68.75,161.3,50.28,6.85
76,ipu,0,BR,1533612892,80,-4.32,-40.71,71.29,3.38
77,la tuque,64,CA,1533612892,83,47.44,-72.79,71.74,2.82
78,salina,1,US,1533611700,69,36.29,-95.15,89.6,4.7
79,maaseik,0,NL,1533612300,72,51.09,5.79,66.2,4.7
80,olds,75,CA,1533610800,52,51.79,-114.11,69.8,3.36
81,butaritari,64,KI,1533612893,100,3.07,172.79,79.53,3.49
